CR 7; Ashaya d'Lyrandar; half-elf; sorcerer 4/dragonmark heir 3; LN; Eberron Campaign Setting p. 74
CR 5; Longstrider Border Guard (Shifted); shifter; ranger 4/wizard 1; LN; Explorer's Handbook p. 44
CR 1; Typical Lyrandar Travel Official; half-elf; expert 1/magewright 1; LN; Explorer's Handbook p. 16
CR 6; Imre Levalle Corrupt Trustee; dwarf; rogue 6; LE; Explorer's Handbook p. 51
CR 5; Arek Islecarn Explorer; half-elf; ranger 4/extreme explorer 1; NG; Explorer's Handbook p. 53
CR 4; Mina Islecarn Explorer; half-elf; rogue 4; NG; Explorer's Handbook p. 53
CR 8; Shellek; changeling; rogue 6/extreme explorer 2; NE; Explorer's Handbook p. 57
CR 8; Vaalissek; human; wizard 5/cataclysm mage 3; NG; Explorer's Handbook p. 63
CR 7; Thrush Xivdrad; human; fighter 4/thunder guide 3; NE; Explorer's Handbook p. 69
CR 8; Syrina d'Lyrandar; half-elf; bard 4/dragonmark heir 3/windwright captain 1; CN; Explorer's Handbook p. 74
CR 13; Deerian Black; half-elf; artificer 8/windwright captain 5; LN; Explorer's Handbook p. 75
CR 1; Typical Airship Stevedore; half-elf; expert 2; NG; Explorer's Handbook p. 81
CR 7; Nicolette d'Lyrandar Docging Tower Master; half-elf; aristocrat 2/monk 6; LG; Explorer's Handbook p. 81
CR 1/2; Typical Rail Hand; human; commoner 1; LN; Explorer's Handbook p. 84
CR 3; Hazel d'Orien House Courier; human; expert 6; CG; Explorer's Handbook p. 85
CR 5; Katal Hazath patrol; githyanki; ranger 2/fighter 2; N; Explorer's Handbook p. 95
CR 5; Katal Hazath Patrol Psion; githyanki; psion (telepath) 4; N; Explorer's Handbook p. 95
CR 7; Khyber Scout; githyanki; ranger 6; N; Explorer's Handbook p. 95
CR 2; Typical Seren Brave; human; barbarian 2; CN; Explorer's Handbook p. 98
CR 6; Typical Shroud of Scales; human; sorcerer 6; N; Explorer's Handbook p. 98
CR 1/2; Petty Cultist; orc; warrior 1; NE; Explorer's Handbook p. 101
CR 7; Tilbor the Divine; goblin; cleric 5; NE; Explorer's Handbook p. 101
CR 4; Cultist of the Dragon Below; human; ranger 4; NE; Explorer's Handbook p. 103
CR 9; Typical Priest of Transition; elf; cleric 9; LG; Explorer's Handbook p. 106
CR 7; Carrion Tribe Rot Lord; human; barbarian 7; NE; Explorer's Handbook p. 111
CR 18; Ethon Panjilcuttra; rakshasa; artificer 8; LE; Explorer's Handbook p. 113
CR 7; Arthan d'Bentalle; dust-stuffed human; aristocrat 3/rogue 3; LE; Explorer's Handbook p. 114
CR 28; Tyrass; very old gold dragon; loremaster 6; LN; Explorer's Handbook p. 118
CR 14; Jeeryth Ritaal; ghost; necromancer 13; LE; Explorer's Handbook p. 125
CR 6; Marauders of Hakatorvhak; half-black dragon human; fighter 4; CE; Explorer's Handbook p. 146
CR 6; Mid-Level Enforcer; warforged; fighter 5/warforged juggernaut 1; N; Secrets of Zen'drik p. 54
CR 13; High-Level Enforcer; warforged; fighter 8/warforged juggernaut 5; N; Secrets of Zen'drik p. 55CR 3; Low-Level Caster; half-elf; druid 3; N; Secrets of Zen'drik p. 55
CR 15; Mid-Level Caster; half-elf; druid 15; LE; Secrets of Zen'drik p. 55
CR 8; Mid-Level Leader; shifter; ranger 5/horizon walker 3; N; Secrets of Zen'drik p. 56
CR 15; High-Level Leader; shifter; ranger 5/horizon walker 10; LE; Secrets of Zen'drik p. 57
CR 8; Blackscale Lizardfolk Leader; blackscale lizardfolk; barbarian 5; N; Secrets of Zen'drik p. 63
CR 4; Sahuagin Spy; sahuagin (malenti); expert 1/rogue 2; NE; Secrets of Zen'drik p. 64
CR 10; Yak Folk Puppeteer; yak folk; sorcerer 2/stone giant vesssel; NE; Secrets of Zen'drik p. 66
CR 1; Drow Lookout; drow; warrior 1; NE; Secrets of Zen'drik p. 68
CR 2; Drow Disciple; drow; adept 2; CE; Secrets of Zen'drik p. 69
CR 3; Drow Hunter; drow; ranger 2; NE; Secrets of Zen'drik p. 69
CR 5; Drow Raider; drow; ranger 2/fighter 2; N; Secrets of Zen'drik p. 70
CR 8; Drow Firebringer; drow; sorcerer 7; NE; Secrets of Zen'drik p. 71
CR 7; Drow Poisoner; drow; rogue 5/assassin 1; CE; Secrets of Zen'drik p. 71
CR 8; Drow Shaman; drow; cleric 7; CE; Secrets of Zen'drik p. 71
CR 10; Drow Kaxat; drow; fighter 6/ranger 3; NE; Secrets of Zen'drik p. 72
CR 14; Drow Aquasa; drow; fighter 8/ranger 5; NE; Secrets of Zen'drik p. 73
CR 17; Primordial Sun Giant Warlock; sun giant; warlock 5; NE; Secrets of Zen'drik p. 79
CR 4; Quorcraft Warforged Barbarian; warforged; dbarbarian 4; CN; Secrets of Zen'drik p. 84
CR 8; Greenbody; warforged; druid 5/landforged walker 3; NG; Secrets of Zen'drik p. 126
CR 10; Silayuss; human; wizard 7/primal scholar 3; NG; Secrets of Zen'drik p. 129
CR 11; Ax'ayuma Tokazz; drow; ranger 6/scorpion wraith 4; N; Secrets of Zen'drik p. 132
CR 7; Vurlaak D'Tharashk; half-orc; rogue 4/dragonmark heir 3; N; Magic of Eberron p. 33
CR 8; Roywin Garrick; gnome; wizard 5/elemental savant (cold) 3; N; Magic of Eberron p. 35
CR 3; Daelkyr Half-Blood Rogue; daelkyr half-blood; rogue 3; LN; Magic of Eberron p. 39
CR 3; Daelkyr Half-Blood Wizard; daelkyr half-blood; wizard 3; LN; Magic of Eberron p. 39
CR 3; Psiforged Psychic Warrior; psiforged; psychic warrior 3; LN; Magic of Eberron p. 41
CR 5; Psiforged Telepath; psiforged; psion (telepath) 5; LE; Magic of Eberron p. 41
CR 10; Harthan d'Cannith; human; artificer 8/alchemist savant 2; LN; Magic of Eberron p. 57
CR 9; Akanna Lightwind; halfling; rogue 2/paladin 4/deadgrim 3; LG; Magic of Eberron p. 63
CR 9; Yesrin Lieng; human; sorcerer 6/dragon prophet 3; LN; Magic of Eberron p. 68
CR 10; Shae-ahm Rhen Skyshadow; gnome; rogue 7/elemental scion 3; N; Magic of Eberron p. 73
CR 9; Aldred Enduru; halfling; ranger 4/rogue 1/impure prince 3; LN; Magic of Eberron p. 76
CR 9; Whalin; human; psychic warrior 6/quori mindhunter 3; CG; Magic of Eberron p. 81
CR 8; Thalas; human; artificer 7/renegade mastermaker 1; LN; Magic of Eberron p. 85
CR 7; Jabreki Osluuhn; elf; rogue 5/viligant sentinel of Aerenal; CG; Magic of Eberron p. 89
CR 14; Gath; human lich; cleric 14; NE; Sharn City of Towers p. 104
CR 9; Hruit; shifter lich; druid 6/sharn skymage 3; NE; Sharn City of Towers p. 104
CR 10; Tarya d'Cannith; human; artificer 10; N; Sharn City of Towers p. 113
CR 12; Menya d'Cannith; human; artificer 9/Cannith wand adept 3; N; Sharn City of Towers p. 113
CR 4; Karg; ogre; expert 2; N; Sharn City of Towers p. 120
CR 12; Madra Sil Sarin; gnome; rogue 7/assassin 5; LE; Sharn City of Towers p. 123
CR 1/2; Watch Patrol; human; warrior 1; N; Sharn City of Towers p. 136
CR 3; Watch Sergeant; dwarf; fighter 3; LN; Sharn City of Towers p. 136
CR 5; Watch Captain; human; fighter 5; LN; Sharn City of Towers p. 137
CR 1; Elite Watch Guard; human; warrior 2; LN; Sharn City of Towers p. 137
CR 12; Knight-Marshal of the Citadel Sir Banarak Tithon; human; fighter 7/citadel elite 5; LN; Sharn City of Towers p. 139
CR 3; Citadel Agent; human; expert 2/rogue 2; LN; Sharn City of Towers p. 140
CR 13; Lieutenant Meira; shifter; warrior 8/ranger 6; N; Sharn City of Towers p. 141
CR 8; Redcloak Soldier; human; warrior 7/fighter 2; LN; Sharn City of Towers p. 141
CR 8; Redcloak Soldier; half-orc; warrior 7/barbarian 2; N; Sharn City of Towers p. 142
CR 8; Redcloak Adept; elf; adept 9; N; Sharn City of Towers p. 142
CR 8; Redcloak Countermage; dwarf; magewright 8/fighter 1; N; Sharn City of Towers p. 142
CR 3; Guard Captain; human; fighter 3; LE; Sharn City of Towers p. 143
CR 1; Elite Guard; half-orc; warrior 2; LE; Sharn City of Towers p. 143
CR 3; Boromar Pickpocket; halfling; rogue 3; N; Sharn City of Towers p. 151
CR 3; Cavallah; ogre mage; rogue 3; LE; Sharn City of Towers p. 152
CR 5; Keshta; gnoll; ranger 4; LE; Sharn City of Towers p. 153
CR 1/2; Low-Level Human Mugger; human; warrior 1; N; Sharn City of Towers p. 153
CR 5; Sample Artificer; warforged; artificer 5; N; Sharn City of Towers p. 173
